id_ponto,Data,Cliente,Fazenda,Talhão,Gleba,Lat,Long,Kg/Ha
76,05/05/2025,glauber,ribeirao,pivo,gener,-19.40284046490513,-47.387842621121685,3.2967083
77,05/05/2025,glauber,ribeirao,pivo,gener,-19.40193752483309,-47.38782943877845,3.1065247
78,05/05/2025,glauber,ribeirao,pivo,gener,-19.401034584662824,-47.38781625717052,3.4657216
79,05/05/2025,glauber,ribeirao,pivo,gener,-19.40013164439434,-47.38780307629787,3.7465196
80,05/05/2025,glauber,ribeirao,pivo,gener,-19.399228704027642,-47.38778989616048,2.1323647
81,05/05/2025,glauber,ribeirao,pivo,gener,-19.39832576356272,-47.38777671675833,1.838979
82,05/05/2025,glauber,ribeirao,pivo,gener,-19.3974228229996,-47.387763538091406,1.7931668
83,05/05/2025,glauber,ribeirao,pivo,gener,-19.39651988233828,-47.387750360159686,2.7404432
84,05/05/2025,glauber,ribeirao,pivo,gener,-19.39561694157875,-47.38773718296315,2.844514
85,05/05/2025,glauber,ribeirao,pivo,gener,-19.39471400072103,-47.387724006501784,3.3853586
86,05/05/2025,glauber,ribeirao,pivo,gener,-19.393811059765124,-47.38771083077557,2.7007337
87,05/05/2025,glauber,ribeirao,pivo,gener,-19.404607595221194,-47.38693795376695,3.0175915
88,05/05/2025,glauber,ribeirao,pivo,gener,-19.40375591158437,-47.38690419486916,3.4939842
89,05/05/2025,glauber,ribeirao,pivo,gener,-19.40285297098322,-47.38689101703218,3.010443
90,05/05/2025,glauber,ribeirao,pivo,gener,-19.401950030283857,-47.386877839930214,3.64202
91,05/05/2025,glauber,ribeirao,pivo,gener,-19.401047089486273,-47.38686466356326,3.9323156
92,05/05/2025,glauber,ribeirao,pivo,gener,-19.40014414859047,-47.386851487931295,2.9352891
93,05/05/2025,glauber,ribeirao,pivo,gener,-19.399241207596468,-47.386838313034296,2.0886838
94,05/05/2025,glauber,ribeirao,pivo,gener,-19.39833826650425,-47.38682513887225,2.8097897
95,05/05/2025,glauber,ribeirao,pivo,gener,-19.397435325313836,-47.38681196544513,3.223993
96,05/05/2025,glauber,ribeirao,pivo,gener,-19.396532384025225,-47.38679879275293,2.6219466
97,05/05/2025,glauber,ribeirao,pivo,gener,-19.395629442638416,-47.38678562079562,3.149326
98,05/05/2025,glauber,ribeirao,pivo,gener,-19.394726501153425,-47.38677244957318,2.1110485
99,05/05/2025,glauber,ribeirao,pivo,gener,-19.39392977650737,-47.38678562150514,2.2660286
100,05/05/2025,glauber,ribeirao,pivo,gener,-19.40376841331519,-47.38595258480304,3.542777
101,05/05/2025,glauber,ribeirao,pivo,gener,-19.40286547208697,-47.38593941220764,3.2877295
102,05/05/2025,glauber,ribeirao,pivo,gener,-19.40196253076052,-47.385926240346976,3.7942777
103,05/05/2025,glauber,ribeirao,pivo,gener,-19.401059589335862,-47.38591306922101,3.0623996
104,05/05/2025,glauber,ribeirao,pivo,gener,-19.400156647813,-47.38589989882975,2.6349137
105,05/05/2025,glauber,ribeirao,pivo,gener,-19.39925370619193,-47.385886729173166,2.63147
106,05/05/2025,glauber,ribeirao,pivo,gener,-19.398350764472667,-47.385873560251234,3.507565
107,05/05/2025,glauber,ribeirao,pivo,gener,-19.397447822655206,-47.38586039206395,3.3486905
108,05/05/2025,glauber,ribeirao,pivo,gener,-19.396544880739558,-47.385847224611275,2.7049904
109,05/05/2025,glauber,ribeirao,pivo,gener,-19.39564193872572,-47.385834057893206,2.244607
110,05/05/2025,glauber,ribeirao,pivo,gener,-19.394738996613697,-47.385820891909724,2.561316
111,05/05/2025,glauber,ribeirao,pivo,gener,-19.40369155881755,-47.385093569178075,3.935191
112,05/05/2025,glauber,ribeirao,pivo,gener,-19.402877968216334,-47.38498780664838,4.177082
113,05/05/2025,glauber,ribeirao,pivo,gener,-19.40197502626306,-47.384974640029014,3.1251593
114,05/05/2025,glauber,ribeirao,pivo,gener,-19.401072084211577,-47.38496147414407,1.8791814
115,05/05/2025,glauber,ribeirao,pivo,gener,-19.400169142061902,-47.38494830899353,2.6704316
116,05/05/2025,glauber,ribeirao,pivo,gener,-19.399266199814022,-47.384935144577376,2.503527
117,05/05/2025,glauber,ribeirao,pivo,gener,-19.398363257467956,-47.384921980895584,3.1680462
118,05/05/2025,glauber,ribeirao,pivo,gener,-19.3974603150237,-47.384908817948144,3.3404825
119,05/05/2025,glauber,ribeirao,pivo,gener,-19.39655737248126,-47.38489565573502,2.3676362
120,05/05/2025,glauber,ribeirao,pivo,gener,-19.39565442984064,-47.384882494256225,2.8975792
121,05/05/2025,glauber,ribeirao,pivo,gener,-19.402796174244376,-47.3841339091983,3.6700802
122,05/05/2025,glauber,ribeirao,pivo,gener,-19.40198751679145,-47.384023038976636,2.8316581
123,05/05/2025,glauber,ribeirao,pivo,gener,-19.401084574113398,-47.384009878332726,2.6977408
124,05/05/2025,glauber,ribeirao,pivo,gener,-19.400181631337155,-47.38399671842293,2.0382397
125,05/05/2025,glauber,ribeirao,pivo,gener,-19.39927868846272,-47.38398355924722,2.4688299
126,05/05/2025,glauber,ribeirao,pivo,gener,-19.398375745490103,-47.38397040080559,2.5727909
127,05/05/2025,glauber,ribeirao,pivo,gener,-19.397472802419298,-47.38395724309801,3.0404067
128,05/05/2025,glauber,ribeirao,pivo,gener,-19.39656985925032,-47.38394408612446,2.8613129
129,05/05/2025,glauber,ribeirao,pivo,gener,-19.395760006996838,-47.38402270307068,3.3635454
130,05/05/2025,glauber,ribeirao,pivo,gener,-19.40108026699519,-47.383112246366885,2.128481
131,05/05/2025,glauber,ribeirao,pivo,gener,-19.40019411563875,-47.38304512711823,2.3158154
132,05/05/2025,glauber,ribeirao,pivo,gener,-19.39929117213801,-47.38303197318299,1.935086
133,05/05/2025,glauber,ribeirao,pivo,gener,-19.398388228539083,-47.38301881998153,1.8641502
134,05/05/2025,glauber,ribeirao,pivo,gener,-19.397512463392207,-47.38307956629976,1.8360466
