Lat,Long,Data,Cliente,Fazenda,Talhão,Gleba,Cultura,Variedade,Data de plantio,Data de colheita,Acúmulo de chuva (mm),Média de produção Kg/Ha (Balança),Kg/Ha
-19.40180394,-47.39249985,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8664,10/10/2024,03/03/2025,870,3,3.8427355
-19.4008082,-47.39267564,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8665,10/10/2024,03/03/2025,870,3,3.8433218
-19.40325114,-47.39233066,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8666,10/10/2024,03/03/2025,870,3,3.8434794
-19.39594487,-47.39165277,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8667,10/10/2024,03/03/2025,870,3,3.843599
-19.40078426,-47.38763089,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8668,10/10/2024,03/03/2025,870,3,3.8436258
-19.40142898,-47.39354132,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8669,10/10/2024,03/03/2025,870,3,3.8436534
-19.40080695,-47.3927708,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8670,10/10/2024,03/03/2025,870,3,3.8438504
-19.40430197,-47.38796779,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8671,10/10/2024,03/03/2025,870,3,3.8439662
-19.40088345,-47.39381887,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8672,10/10/2024,03/03/2025,870,3,3.844281
-19.40327369,-47.39061778,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8673,10/10/2024,03/03/2025,870,3,3.8448565
-19.40355084,-47.39014593,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8674,10/10/2024,03/03/2025,870,3,3.8452666
-19.40037052,-47.39162229,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8675,10/10/2024,03/03/2025,870,3,3.8454912
-19.39719771,-47.39252766,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8676,10/10/2024,03/03/2025,870,3,3.8455224
-19.40326994,-47.39090326,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8677,10/10/2024,03/03/2025,870,3,3.845523
-19.39716448,-47.38537921,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8678,10/10/2024,03/03/2025,870,3,3.8455634
-19.40378522,-47.38605666,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8679,10/10/2024,03/03/2025,870,3,3.8456032
-19.40217617,-47.38479586,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8680,10/10/2024,03/03/2025,870,3,3.8456273
-19.39895586,-47.38931738,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8681,10/10/2024,03/03/2025,870,3,3.845708
-19.40333768,-47.39261747,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8682,10/10/2024,03/03/2025,870,3,3.845937
-19.39653827,-47.38454462,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8683,10/10/2024,03/03/2025,870,3,3.846468
-19.40002437,-47.39047511,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8684,10/10/2024,03/03/2025,870,3,3.846607
-19.40423169,-47.38644389,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8685,10/10/2024,03/03/2025,870,3,3.8467784
-19.40361213,-47.38548306,05/05/2024,glauber,ribeirao,pivo,gener,soja,brasmax_8686,10/10/2024,03/03/2025,870,3,3.8468392
