Lat,Long,Data,Cliente,Fazenda,Talhão,Gleba,Cultura,Variedade,Data de plantio,Data de colheita,Acúmulo de chuva (mm),Média de produção Kg/Ha (Balança),Kg/Ha
-19.4013938,-47.38935299,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_166,10/10/2024,03/03/2025,870,3,1.1850262
-19.40130601,-47.38916135,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_167,10/10/2024,03/03/2025,870,3,1.1853791
-19.40139505,-47.38925783,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_168,10/10/2024,03/03/2025,870,3,1.1878121
-19.39690149,-47.3861952,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_169,10/10/2024,03/03/2025,870,3,1.1892899
-19.39685287,-47.38585592,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_170,10/10/2024,03/03/2025,870,3,1.2033582
-19.39644915,-47.3858668,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_171,10/10/2024,03/03/2025,870,3,1.2112077
-19.39992631,-47.384192,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_172,10/10/2024,03/03/2025,870,3,1.2113876
-19.39697811,-47.38602284,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_173,10/10/2024,03/03/2025,870,3,1.2115813
-19.40093983,-47.38953671,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_174,10/10/2024,03/03/2025,870,3,1.2200924
-19.39965293,-47.38437837,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_175,10/10/2024,03/03/2025,870,3,1.2236162
-19.40166343,-47.38945211,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_176,10/10/2024,03/03/2025,870,3,1.226552
-19.40085078,-47.38944024,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_177,10/10/2024,03/03/2025,870,3,1.2268051
-19.39669448,-47.38598791,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_178,10/10/2024,03/03/2025,870,3,1.2312948
-19.40094108,-47.38944156,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_179,10/10/2024,03/03/2025,870,3,1.2316793
-19.40112041,-47.38953935,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_180,10/10/2024,03/03/2025,870,3,1.2468565
-19.40112417,-47.38925388,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_181,10/10/2024,03/03/2025,870,3,1.2471168
-19.40085329,-47.38924992,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_182,10/10/2024,03/03/2025,870,3,1.2501595
-19.39705472,-47.38585048,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_183,10/10/2024,03/03/2025,870,3,1.2522597
-19.40076174,-47.38934376,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_184,10/10/2024,03/03/2025,870,3,1.262761
-19.4001044,-47.38438495,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_185,10/10/2024,03/03/2025,870,3,1.262856
-19.39660754,-47.38573481,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_186,10/10/2024,03/03/2025,870,3,1.264584
-19.39685803,-47.38606865,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_187,10/10/2024,03/03/2025,870,3,1.2683583
-19.40148034,-47.38963979,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_188,10/10/2024,03/03/2025,870,3,1.2696562
-19.39784368,-47.38340252,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_189,10/10/2024,03/03/2025,870,3,1.2724798
-19.39823977,-47.38883104,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_190,10/10/2024,03/03/2025,870,3,1.2751102
-19.39983601,-47.38419068,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_191,10/10/2024,03/03/2025,870,3,1.2812222
-19.39833006,-47.38883236,05/05/2025,glauber,ribeirao,pivo,gener,soja,brasmax_192,10/10/2024,03/03/2025,870,3,1.2832125
